Name, Latitude, Longitude,X,Y
ap1,-36.18562289,175.053812,324996.4,5993707.7
ap2,-36.18444184,175.0700019,326449.8,5993867.9
ap3b,-36.1794742,175.0674997,326213.8,5994414.5
bp2c,-36.17938877,175.0751659,326903.1,5994437.7
cp2,-36.17616039,175.086673,327930.9,5994816.3
cp3d,-36.17305385,175.0831954,327611.3,5995154.7
dp2,-36.16866335,175.09035,328245.3,5995654.5
dp3e,-36.16696585,175.0899933,328209.5,5995842.2
ep2f,-36.16757209,175.1006238,329167,5995793.7
fp2,-36.17052709,175.1013355,329237.5,5995467.1
fp3g,-36.17150494,175.1045877,329532.1,5995364.4
gp2,-36.17565405,175.1139808,330386,5994920.5
gp3,-36.17526374,175.1165516,330616.3,5994968.3
gp4h,-36.18187632,175.1135064,330356.7,5994229.4
hp2,-36.18819633,175.1160964,330603.3,5993532.8
hp3i,-36.19602648,175.1153289,330551.1,5992662.8
ip2j,-36.20804978,175.1155727,330599,5991329.4
jp2k,-36.21544776,175.1148746,330552.2,5990507.5
kp2,-36.21903152,175.115696,330633.7,5990111.4
kp3l,-36.23201857,175.1050372,329703.7,5988652
lp2m,-36.23064589,175.0729139,326813.5,5988747.3
mp2n,-36.2237795,175.0822501,327637.6,5989525.7
np3o,-36.22053299,175.0612861,325746,5989848.4
op2,-36.21735785,175.0715559,326662.2,5990219
op3q,-36.20322581,175.0566069,325286.9,5991760
qp2,-36.20024824,175.0561298,325237.4,5992089.4
qp3r,-36.19559292,175.0552893,325151.4,5992604.4
rp2,-36.19112977,175.0557225,325180.5,5993100.3
