temperature, pressure, wind
25, 1009.7, 3.5
23, 1010.2, 2.5
20, 1009.2, 0.7
27, 1011.3, 1.5
32, 1006.9, 3.2
26, 1009.1, 3.6
21, 1008.4, 0.8
29, 1010.1, 0.8
34, 1005.0, 1.9
26, 1008.1, 1.6
21, 1007.1, 1.2
36, 1008.3, 1.8
33, 1006.0, 5.0
26, 1008.5, 1.3
22, 1010.4, 1.4
30, 1011.3, 0.9
32, 1007.1, 4.2
25, 1012.5, 1.9
23, 1012.0, 2.5
27, 1012.0, 2.3
28, 1006.0, 3.7
22, 1010.3, 1.8
22, 1008.1, 1.0
29, 1007.7, 2.3
24, 1008.1, 2.2
22, 1008.5, 0.9
22, 1008.2, 0.2
27, 1008.7, 1.7
27, 1005.4, 1.1
21, 1010.3, 1.9
18, 1009.1, 1.7
25, 1012.7, 0.6
27, 1009.6, 1.2
23, 1014.2, 1.5
22, 1014.2, 1.0
27, 1015.1, 1.4
28, 1012.4, 1.3
24, 1014.5, 1.7
